uid,body,title,url,newspapper_uid,host,n_tokens_title,n_tokens_body
76937f680f0f12ff06ecabaf14c1d31d,"El mundo y sus esferas educativas, laborales, sociales y culturales cambian cada día. Hoy, cuando gran parte de la sociedad transcurre en un contexto de incertidumbre y nuevas dinámicas por cuenta de la pandemia de la COVID-19, hay que tener claro que la transformación digital ya es una realidad en muchos ámbitos; de ahí la necesidad de la capacitación y actualización constantes como principio de vida. En lo que a educación respecta, tan solo en Colombia más de 9.000 instituciones oficiales, 329.000 docentes y directivos, y cerca de diez millones de estudiantes se han visto abocados a hacer cambios en sus vidas para mantener la continuidad de sus procesos de aprendizaje.","Si tiene acceso a Internet, las competencias TIC están a un solo clic",https://www.eltiempo.com//contenido-comercial/si-tiene-acceso-a-internet-las-competencias-tic-estan-a-un-solo-clic-510640,D:\Learning\Platzi\python\Webscreapper\eltiempo,www.eltiempo.com,7,55
2caf5ec9f398239645669a5d643fa21c,"A diario, cientos de peatones transitan por las calles y avenidas de las ciudades, a veces sin percatarse de detalles que fueron pensados a través de un trabajo conjunto entre arquitectos, urbanistas, paisajistas, ingenieros, diseñadores, entre otros, para que las personas tengan una mejor calidad de vida.","Arquitectour II, ventana abierta a las tendencias de construcción",https://www.eltiempo.com//economia/arquitectour-ii-ventana-abierta-a-las-tendencias-de-construccion-512046,D:\Learning\Platzi\python\Webscreapper\eltiempo,www.eltiempo.com,6,23
60207fb165dfd9222f8794a29ee5630c,"Ante el proyecto del gobierno israelí del 'premier' Benjamin Netanyahu de anexionarse partes de Cisjordania ocupada, que podría ser implementado a partir del 1º. de julio, EL TIEMPO habló con el negociador palestino Saeb Erekat, a través de una rueda de prensa virtual,  y con el general (r) Danny Yatom, exjefe del Mossad y otrora secretario militar del asesinado primer ministro israelí Yitzhak Rabin.(Lea también:  ONU advierte a Israel sobre plan de anexión de partes de Cisjordania).","Anexión de parte de Cisjordania, el gran desafío de Netanyahu al mundo",https://www.eltiempo.com//mundo/medio-oriente/posiciones-de-sobre-el-plan-de-netanyahu-para-anexion-de-una-parte-de-cisjordania-511884,D:\Learning\Platzi\python\Webscreapper\eltiempo,www.eltiempo.com,7,47
c058a15756ddceb7d2ca7521f0e17bf4,"Luego de que varias personas denunciaran en redes sociales que el Ejército, al parecer, disparó y causó la muerte un líder joven comunal en Teorama, Norte de Santander, el Ejército respondió en un comunicado sobre los hechos.",Ejército responde a denuncias de asesinato de líder en Teorama,https://www.eltiempo.com//justicia/delitos/ejercito-responde-a-denuncias-de-asesinato-de-lider-social-en-teorama-512060,D:\Learning\Platzi\python\Webscreapper\eltiempo,www.eltiempo.com,6,21
928687c498e74549241fdd6e7be9faa8,"Aunque la esclavitud se abolió en el siglo XIX, sigue desfigurando el mundo. En lo que llevamos del XXI se han hecho infinidad de descubrimientos y logrado avances científicos significativos, pero no se ha extirpado este basilisco que se multiplica y arrastra como la peor, más venenosa y fulminante de las víboras.",Esclavitud moderna: 40 millones son víctimas del mercado de la infamia,https://www.eltiempo.com//mundo/esclavitud-moderna-en-2020-511758,D:\Learning\Platzi\python\Webscreapper\eltiempo,www.eltiempo.com,6,25
b51ea28a6548957a9c8c010601d12fbd,"El domingo pasado, sobre las cinco de la tarde, una menor de edad de la comunidad embera chamí salió de su casa, en pleno día de mercado, para conseguir unas frutas y no regresó a su vivienda. Al día siguiente fue encontrada sola y llorando cerca del río que pasa por la vereda Santa Cecilia, en el municipio de Pueblo Rico, Risaralda.Una semana después, la menor, que fue violada por un grupo de soldados que prestaban su servicio en el Batallón San Mateo, está bajo protección del Bienestar Familiar en Pereira, parte de su familia tuvo que dejar su casa en Pueblo Rico para acompañarla y apoyarla en la capital del departamento, y siete militares están privados de su libertad en una unidad militar mientras esperan una condena de hasta 30 años de cárcel por su responsabilidad en el atroz hecho.",Las horas claves del caso por violación de niña embera por soldados,https://www.eltiempo.com/justicia/delitos/que-se-sabe-y-que-sigue-en-caso-de-nina-indigena-violada-por-soldados-del-ejercito-511918,D:\Learning\Platzi\python\Webscreapper\eltiempo,www.eltiempo.com,7,73
1ffd33b71dff94a270d5ec80ad09ce74,"Bajo el desenfreno de la noche del pasado domingo, del cuarto piso de una casa arrojaron un gato, en el barrio El Retiro de Cali. En la caída, el animal salió con fracturas en una de sus patas.En redes, Sandra Astaiza contó ese acto violento que algunos comentaristas equipararon al de un militar que lanzó un perro en una zona rural de Nariño.Y Liliana Londoño contaba la historia de una mascota embarazada abandonada.",Ni los animales se salvan de la violencia durante cuarentena en Cali,https://www.eltiempo.com//colombia/cali/maltrato-animal-en-cali-durante-la-cuarentena-por-covid-19-512098,D:\Learning\Platzi\python\Webscreapper\eltiempo,www.eltiempo.com,5,37
0991a4c04af8bb3230e64ebc1bee7655,"La Fiscalía General de la Nación abrió una investigación penal por los hechos que rodearon la muerte del adolescente Duván Álvarez durante el desalojo de un predio, el pasado jueves 25 de junio, en el barrio Ciudadela Sucre, Comuna Cuatro de Soacha, Cundinamarca. Según denuncias en redes sociales, el hecho sucedió mientras el Escuadrón Móvil Antidisturbios (Esmad) realizaba el desalojo por la ocupación ilegal de un predio de un privado, personas han expresado que en ese momento, algunos miembros de la policía realizaron disparos que impactaron al menor de edad en el tórax.",Fiscalía investiga muerte de joven durante desalojo en Soacha,https://www.eltiempo.com//justicia/delitos/fiscalia-investiga-muerte-de-joven-durante-desalojos-en-soacha-512108,D:\Learning\Platzi\python\Webscreapper\eltiempo,www.eltiempo.com,6,52
b88b7037754346f41b993f09a395c9c9,"Hay efemérides que al mirarlas y comparar el presente con el pasado pareciera como si nada hubiera cambiado. Sin embargo, cuando se miran en detalle ciertas circunstancias en realidad los avances son enormes, pero los esfuerzos que aún quedan por hacer son titánicos. Este es uno de esos casos. ",Estudio resalta las series y películas LGBTQ+ de Netflix,https://www.eltiempo.com//cultura/series-de-netflix-sobre-la-comunidad-lgbtq-para-ver-en-el-dia-del-orgullo-511898,D:\Learning\Platzi\python\Webscreapper\eltiempo,www.eltiempo.com,5,22
6f0c513bc2e44e5c7defc65406dfb548,"Tras su explosivo arranque en la provincia de Wuhan, en China, el año pasado, y mientras asolaba Europa, donde lleva cerca de 200.000 muertos, la pandemia del covid-19 atravesó el Atlántico en febrero. Durante las primeras semanas, en América los números subieron con lentitud: varios países –entre ellos Colombia– impusieron severas cuarentenas para ralentizar el avance del coronavirus y evitar que semejante mortandad se repitiera en estos lares.",desconcierto columna de mauricio vargas 511988,https://www.eltiempo.com//opinion/columnistas/mauricio-vargas/desconcierto-columna-de-mauricio-vargas-511988,D:\Learning\Platzi\python\Webscreapper\eltiempo,www.eltiempo.com,4,37
